104.00,7.7011e-07,8.9061e-05,11228.,16.031,16.896,185.81,33.636,41.951,156.39,29.141,0.0028335,0.0026243,vapor
104.35,8.4522e-07,9.7419e-05,10265.,16.043,16.911,185.17,33.695,42.009,156.62,28.881,0.0028431,0.0026426,vapor
104.70,9.2702e-07,0.00010649,9390.6,16.055,16.926,184.55,33.753,42.068,156.86,28.625,0.0028527,0.0026610,vapor
105.05,1.0161e-06,0.00011633,8596.3,16.067,16.940,183.92,33.811,42.126,157.09,28.371,0.0028623,0.0026794,vapor
105.40,1.1129e-06,0.00012699,7874.4,16.079,16.955,183.31,33.870,42.184,157.33,28.121,0.0028720,0.0026979,vapor
105.75,1.2182e-06,0.00013855,7217.8,16.091,16.970,182.70,33.928,42.242,157.56,27.874,0.0028816,0.0027164,vapor
106.10,1.3325e-06,0.00015105,6620.2,16.102,16.985,182.09,33.986,42.300,157.80,27.630,0.0028912,0.0027349,vapor
106.45,1.4567e-06,0.00016458,6076.0,16.114,16.999,181.49,34.043,42.358,158.03,27.389,0.0029008,0.0027535,vapor
106.80,1.5914e-06,0.00017921,5580.0,16.126,17.014,180.89,34.101,42.416,158.26,27.151,0.0029105,0.0027721,vapor
107.15,1.7374e-06,0.00019502,5127.7,16.138,17.029,180.30,34.159,42.473,158.50,26.916,0.0029201,0.0027908,vapor
107.50,1.8957e-06,0.00021209,4714.9,16.150,17.044,179.71,34.216,42.531,158.73,26.683,0.0029297,0.0028094,vapor
107.85,2.0671e-06,0.00023052,4338.0,16.162,17.059,179.13,34.274,42.588,158.96,26.454,0.0029393,0.0028281,vapor
108.20,2.2526e-06,0.00025040,3993.7,16.174,17.074,178.56,34.331,42.646,159.19,26.227,0.0029490,0.0028469,vapor
108.55,2.4533e-06,0.00027182,3678.9,16.186,17.089,177.98,34.388,42.703,159.43,26.003,0.0029586,0.0028657,vapor
108.90,2.6702e-06,0.00029491,3390.9,16.198,17.104,177.42,34.445,42.760,159.66,25.782,0.0029682,0.0028845,vapor
109.25,2.9046e-06,0.00031977,3127.2,16.210,17.119,176.86,34.502,42.817,159.89,25.563,0.0029779,0.0029033,vapor
109.60,3.1578e-06,0.00034653,2885.8,16.222,17.134,176.30,34.559,42.874,160.12,25.347,0.0029875,0.0029222,vapor
109.95,3.4309e-06,0.00037530,2664.5,16.235,17.149,175.74,34.616,42.931,160.35,25.133,0.0029971,0.0029412,vapor
110.30,3.7256e-06,0.00040624,2461.6,16.247,17.164,175.20,34.673,42.987,160.58,24.923,0.0030067,0.0029601,vapor
110.65,4.0432e-06,0.00043948,2275.4,16.259,17.179,174.65,34.729,43.044,160.81,24.714,0.0030164,0.0029791,vapor
111.00,4.3854e-06,0.00047517,2104.5,16.271,17.194,174.11,34.786,43.100,161.03,24.508,0.0030260,0.0029981,vapor
111.35,4.7539e-06,0.00051348,1947.5,16.283,17.209,173.58,34.842,43.157,161.26,24.305,0.0030356,0.0030172,vapor
111.70,5.1505e-06,0.00055458,1803.2,16.295,17.224,173.05,34.899,43.213,161.49,24.103,0.0030453,0.0030363,vapor
112.05,5.5771e-06,0.00059864,1670.4,16.308,17.239,172.52,34.955,43.269,161.72,23.905,0.0030549,0.0030555,vapor
112.40,6.0358e-06,0.00064586,1548.3,16.320,17.254,172.00,35.011,43.325,161.95,23.708,0.0030645,0.0030746,vapor
112.75,6.5287e-06,0.00069643,1435.9,16.332,17.270,171.48,35.067,43.381,162.17,23.514,0.0030741,0.0030938,vapor
113.10,7.0580e-06,0.00075056,1332.3,16.344,17.285,170.97,35.123,43.437,162.40,23.322,0.0030838,0.0031131,vapor
113.45,7.6262e-06,0.00080849,1236.9,16.357,17.300,170.46,35.178,43.493,162.63,23.132,0.0030934,0.0031324,vapor
113.80,8.2359e-06,0.00087043,1148.9,16.369,17.315,169.95,35.234,43.549,162.85,22.945,0.0031030,0.0031517,vapor
114.15,8.8896e-06,0.00093664,1067.6,16.381,17.330,169.45,35.290,43.604,163.08,22.759,0.0031127,0.0031710,vapor
114.50,9.5903e-06,0.0010074,992.67,16.394,17.346,168.95,35.345,43.660,163.30,22.576,0.0031223,0.0031904,vapor
114.85,1.0341e-05,0.0010829,923.42,16.406,17.361,168.46,35.400,43.715,163.53,22.395,0.0031319,0.0032099,vapor
115.20,1.1145e-05,0.0011636,859.44,16.418,17.376,167.97,35.456,43.770,163.75,22.216,0.0031415,0.0032293,vapor
115.55,1.2005e-05,0.0012496,800.27,16.431,17.392,167.49,35.511,43.825,163.98,22.039,0.0031512,0.0032488,vapor
115.90,1.2925e-05,0.0013413,745.55,16.443,17.407,167.00,35.566,43.880,164.20,21.864,0.0031608,0.0032683,vapor
116.25,1.3909e-05,0.0014391,694.90,16.456,17.422,166.53,35.621,43.935,164.43,21.691,0.0031704,0.0032879,vapor
116.60,1.4961e-05,0.0015432,648.00,16.468,17.438,166.05,35.676,43.990,164.65,21.519,0.0031801,0.0033075,vapor
116.95,1.6084e-05,0.0016541,604.55,16.481,17.453,165.58,35.730,44.045,164.87,21.350,0.0031897,0.0033272,vapor
117.30,1.7284e-05,0.0017722,564.28,16.493,17.469,165.12,35.785,44.100,165.09,21.183,0.0031993,0.0033468,vapor
117.65,1.8564e-05,0.0018978,526.93,16.506,17.484,164.65,35.839,44.154,165.32,21.017,0.0032090,0.0033665,vapor
118.00,1.9929e-05,0.0020313,492.29,16.518,17.499,164.19,35.894,44.208,165.54,20.854,0.0032186,0.0033863,vapor
118.35,2.1386e-05,0.0021733,460.13,16.531,17.515,163.74,35.948,44.263,165.76,20.692,0.0032282,0.0034061,vapor
